Страна,Площадь,Площадь (мили),Площадь суши (км2),ActualSizeOfCountriesTotalWaterkm,ActualSizeOfCountriesTotalWater,Процент воды в территории,Население,Продолжительность жизни (все),Продолжительность жизни (мужчины),Продолжительность жизни (женщины),ИЧР,"ВВП (номинальный, 2024, млрд $)"
Bhutan,,,,,,,,,,,,12.377
Австра­лия,,,,,,,,84.1,82.3,85.8,0.946,
Австралия,7692024.0,7692024.0,7692020.0,58459.0,22571.0,0.8,26 713 205,,,,,1791.358
Австрия,83871.0,83871.0,82520.0,1426.0,551.0,1.7,8 915 382,82.1,79.8,84.4,0.926,634.362
Азербай­джан,,,,,,,,74.6,71.7,77.3,0.76,
Азербайджан,86600.0,86600.0,82646.0,500.0,200.0,0.6,10 336 577,,,,,199.195
Албания,28748.0,28748.0,27400.0,1350.0,521.0,4.7,2 845 955,79.8,77.9,81.6,0.789,58.795
Алжир,2381741.0,2381741.0,2381741.0,0.0,0.0,0.0,46 814 308,76.5,75.1,77.9,0.745,768.521
Американ­ские Виргин­ские Острова,,,,,,,,75.7,70.7,81.5,,
Американское Самоа,199.0,199.0,200.0,0.0,0.0,0.0,55 602,,,,,
Ангилья,,,,,,,15 800,79.5,76.2,82.8,,
Ангола,1246700.0,1246700.0,1246700.0,0.0,0.0,0.0,37 885 849,64.8,62.3,67.3,0.591,270.981
Ангуилья,91.0,91.0,91.0,0.0,0.0,0.0,,,,,,
Андорра,468.0,468.0,470.0,0.0,0.0,0.0,76 177,84.2,82.3,86.2,0.884,6.001
Антигуа и Барбуда,442.0,442.0,440.0,0.0,0.0,0.0,97 000,,,,,2.829
Антигуа и Барбуда,,,,,,,,77.8,74.7,80.4,0.826,
Аргентина,2780400.0,2780400.0,2736690.0,43710.0,16880.0,1.6,45 696 159,77.5,75.0,80.0,0.849,1244.646
Армения,29743.0,29743.0,28470.0,1401.0,541.0,4.7,2 962 100,75.8,71.6,79.6,0.786,64.432
Аруба,180.0,180.0,180.0,0.0,0.0,0.0,106 000,76.5,73.8,78.9,,5.857
Афгани­стан,,,,,,,,66.3,64.7,67.8,0.462,
Афганистан,652230.0,652230.0,652230.0,0.0,0.0,0.0,42 647 492,,,,,
Багам­ские Острова,,,,,,,,74.7,71.1,78.3,0.82,
Багамские Острова,,,,,,,389 000,,,,,
Багамы,13943.0,13943.0,10010.0,3870.0,1490.0,27.8,,,,,,18.989
Бангла­деш,,,,,,,,74.9,73.3,76.7,0.67,
Бангладеш,147570.0,147570.0,130170.0,14252.0,5503.0,9.6,173 562 364,,,,,1619.803
Барбадос,430.0,430.0,430.0,0.0,0.0,0.0,287 000,76.3,73.8,78.8,0.809,5.989
Бахрейн,765.0,765.0,785.0,0.0,0.0,0.0,1 451 200,81.4,80.9,82.1,0.888,101.549
Беларусь,207600.0,207600.0,202980.0,4700.0,1800.0,2.3,,74.6,69.7,79.2,0.801,234.661
Белиз,22966.0,22966.0,22810.0,160.0,62.0,0.7,387 879,73.7,71.1,76.7,0.7,5.204
Белоруссия,,,,,,,9 255 524,,,,,
Бельгия,30528.0,30528.0,30280.0,250.0,97.0,0.8,11 738 763,82.3,80.1,84.4,0.942,803.166
Бенин,112622.0,112622.0,112760.0,458.0,177.0,0.4,14 462 724,61.0,59.5,62.4,0.504,64.413
Бермуды,54.0,54.0,54.0,0.0,0.0,0.0,61 662,82.5,79.1,85.9,,
Болгария,110879.0,110879.0,108560.0,2390.0,923.0,2.2,6 445 481,75.8,72.3,79.4,0.799,229.107
Боливия,1098581.0,1098581.0,1083300.0,15280.0,5900.0,1.4,12 413 315,68.7,66.3,71.3,0.698,131.422
"Бонайре, Синт-Эстатиус и Саба",,,,,,,25 052,,,,,
"Бонайре, Синт-Эстатиус и Саба",,,,,,,,77.6,75.4,80.3,,
Босния и Герцеговина,51209.0,51209.0,51200.0,10.0,4.0,0.0,3 434 000,,,,,71.254
Босния и Герцего­вина,,,,,,,,78.0,74.6,81.1,0.779,
Ботсвана,582000.0,582000.0,566730.0,15000.0,5800.0,2.6,2 304 000,69.3,66.8,71.9,0.708,54.657
Брази­лия,,,,,,,,76.0,73.0,79.1,0.76,
Бразилия,8515767.0,8515767.0,8358140.0,55352.0,21372.0,0.6,211 998 573,,,,,4273.668
Британ­ские Виргин­ские Острова,,,,,,,,77.4,74.7,80.2,,
Британские Виргинские острова,151.0,151.0,150.0,0.0,0.0,0.0,,,,,,
