Страна,"ВВП (номинальный, 2024, млрд $)"
Китай,35291.015
США,28781.083
Индия,14594.460
Япония,6720.962
Германия,5686.531
Россия,5472.880
Индонезия,4720.542
Бразилия,4273.668
Великобритания,4029.438
Франция,3987.911
Турция,3831.533
Мексика,3434.224
Италия,3347.103
Южная Корея,3057.995
Испания,2516.376
Канада,2472.227
Саудовская Аравия,2354.392
Египет,1898.538
Иран,1854.845
Польша,1800.540
Тайвань,1792.349
Австралия,1791.358
Таиланд,1644.322
Пакистан,1642.572
Бангладеш,1619.803
Вьетнам,1558.898
Нигерия,1443.708
Филиппины,1391.800
Нидерланды,1329.039
Малайзия,1305.942
Аргентина,1244.646
Колумбия,1041.705
Южная Африка,1025.930
ОАЭ,948.045
Румыния,817.986
Швейцария,816.456
Бельгия,803.166
Сингапур,794.179
Алжир,768.521
Швеция,736.398
Ирландия,712.056
Казахстан,693.415
Австрия,634.362
Чили,622.779
Гонконг,570.082
Перу,566.582
Израиль,552.151
Чехия,551.958
Ирак,530.861
Украина,515.947
Португалия,485.742
Дания,462.019
Норвегия,461.107
Венгрия,437.767
Эфиопия,431.688
Греция,430.125
Марокко,409.073
Узбекистан,401.838
Кения,365.854
Финляндия,340.043
Катар,337.521
Доминиканская Республика,293.365
Новая Зеландия,285.582
Мьянма,283.572
Ангола,270.981
Эквадор,268.199
Кувейт,264.301
Танзания,244.363
Гана,241.450
Словакия,239.326
Беларусь,234.661
Болгария,229.107
Венесуэла,224.526
Кот-д'Ивуар,219.391
Гватемала,213.276
Оман,207.604
Панама,202.013
Азербайджан,199.195
Сербия,185.014
Ливия,182.897
Хорватия,175.269
Судан,169.189
Тунис,168.315
ДРК,160.197
Непал,159.139
Уганда,156.696
Коста-Рика,152.141
Литва,144.585
Камбоджа,142.392
Камерун,141.929
Иордания,141.191
Пуэрто-Рико,136.921
Боливия,131.422
Туркменистан,130.172
Парагвай,124.726
Словения,112.913
Уругвай,107.946
Бахрейн,101.549
Люксембург,96.886
Грузия,94.020
Макао,92.885
Замбия,92.175
Сенегал,86.978
Сальвадор,80.151
Гондурас,79.975
Лаос,78.713
Латвия,78.421
Босния и Герцеговина,71.254
Йемен,69.535
Буркина-Фасо,66.910
Мали,65.413
Армения,64.432
Бенин,64.413
Гайана,63.822
Эстония,61.598
Мадагаскар,60.551
Таджикистан,59.415
Албания,58.795
Монголия,58.580
Мозамбик,57.466
Никарагуа,54.890
Ботсвана,54.657
Кипр,54.104
Гвинея,51.894
Зимбабве,49.035
Чад,48.301
Кыргызстан,48.054
Нигер,47.024
Тринидад и Тобаго,46.679
Руанда,46.658
Северная Македония,45.905
Папуа - Новая Гвинея,44.300
Габон,43.915
Молдова,43.882
Маврикий,40.468
Малави,40.029
Гаити,38.506
Ямайка,37.239
Мальта,36.870
Мавритания,34.779
Бруней,34.249
Сомали,34.027
Намибия,32.302
Конго,29.904
Косово,29.719
Экваториальная Гвинея,29.226
Исландия,29.077
Того,27.039
Багамы,18.989
Сьерра-Леоне,18.942
Черногория,18.812
Фиджи,16.059
Мальдивы,15.124
Эсватини,14.861
Bhutan,12.377
Суринам,12.248
Бурунди,12.241
Либерия,10.468
Гамбия,8.151
Джибути,8.038
Южный Судан,7.031
Лесото,6.983
Гвинея-Бисау,6.406
Кабо-Верде,6.016
Андорра,6.001
Барбадос,5.989
ЦАР,5.868
Аруба,5.857
Белиз,5.204
Тимор-Лешти,5.162
Сейшельские острова,4.345
Коморские острова,3.629
Сент-Люсия,3.610
Сан-Марино,2.978
Антигуа и Барбуда,2.829
Гренада,2.502
Сент-Винсент и Гренадины,2.133
Соломоновы острова,2.056
Сент-Китс и Невис,1.860
Самоа,1.421
Доминика,1.144
Вануату,1.015
Сан-Томе и Принсипи,1.005
Тонга,0.742
Кирибати,0.460
Микронезия,0.443
Палау,0.307
Маршалловы острова,0.287
Науру,0.141
Тувалу,0.066
