Страна,ИЧР
Швей­цария,0.967
Норвегия,0.966
Исландия,0.959
Гонконг,0.956
Дания,0.952
Швеция,0.952
Германия,0.950
Ирландия,0.950
Сингапур,0.949
Австра­лия,0.946
Нидер­ланды,0.946
Бельгия,0.942
Финлян­дия,0.942
Лихтен­штейн,0.942
Велико­британия,0.940
Новая Зелан­дия,0.939
Объе­динён­ные Арабские Эмираты,0.937
Канада,0.935
Южная Корея,0.929
Люксем­бург,0.927
Соеди­нён­ные Штаты Америки,0.927
Австрия,0.926
Словения,0.926
Япония,0.920
Израиль,0.915
Мальта,0.915
Испания,0.911
Франция,0.910
Кипр,0.907
Италия,0.906
Эстония,0.899
Чехия,0.895
Греция,0.893
Бахрейн,0.888
Андорра,0.884
Польша,0.881
Латвия,0.879
Литва,0.879
Хорватия,0.878
Катар,0.875
Саудов­ская Аравия,0.875
Порту­галия,0.874
Сан-Марино,0.867
Чили,0.860
Словакия,0.855
Турция,0.855
Венгрия,0.851
Аргентина,0.849
Кувейт,0.847
Черногория,0.844
Сент-Китс и Невис,0.838
Уругвай,0.830
Румыния,0.827
Антигуа и Барбуда,0.826
Бруней,0.823
Россия,0.821
Багам­ские Острова,0.820
Панама,0.820
Оман,0.819
Грузия,0.814
Трини­дад и Тобаго,0.814
Барбадос,0.809
Малай­зия,0.807
Коста-Рика,0.806
Сербия,0.805
Таиланд,0.803
Казах­стан,0.802
Сейшель­ские Острова,0.802
Беларусь,0.801
Болгария,0.799
Палау,0.797
Маврикий,0.796
Гренада,0.793
Албания,0.789
Китай,0.788
Армения,0.786
Мексика,0.781
Иран,0.780
Шри-Ланка,0.780
Босния и Герцего­вина,0.779
Сент-Винсент и Гренадины,0.772
Домини­кан­ская Респуб­лика,0.766
Эквадор,0.765
Маке­дония,0.765
Куба,0.764
Молдова,0.763
Мальдивы,0.762
Перу,0.762
Азербай­джан,0.760
Брази­лия,0.760
Колумбия,0.758
Ливия,0.746
Алжир,0.745
Туркмени­стан,0.744
Гайана,0.742
Монголия,0.741
Доминика,0.740
Тонга,0.739
Иордания,0.736
Украина,0.734
Тунис,0.732
Маршал­ловы Острова,0.731
Парагвай,0.731
Фиджи,0.729
Египет,0.728
Узбеки­стан,0.727
Вьетнам,0.726
Сент-Люсия,0.725
Ливан,0.723
Южная Африка,0.717
Палестина,0.716
Индо­незия,0.713
Филип­пины,0.710
Ботсвана,0.708
Ямайка,0.706
Самоа,0.702
Кыргыз­стан,0.701
Белиз,0.700
Вене­суэла,0.699
Боливия,0.698
Марокко,0.698
Науру,0.696
Габон,0.693
Суринам,0.690
Бутан,0.681
Таджики­стан,0.679
Сальва­дор,0.674
Ирак,0.673
Бангла­деш,0.670
Никарагуа,0.669
Кабо-Верде,0.661
Тувалу,0.653
Экватори­альная Гвинея,0.650
Индия,0.644
Микро­незия,0.634
Гвате­мала,0.629
Кирибати,0.628
Гондурас,0.624
Лаос,0.620
Вануату,0.614
Сан-Томе и Принсипи,0.613
Свази­ленд,0.610
Намибия,0.610
Мьянма,0.608
Гана,0.602
Кения,0.601
Непал,0.601
Камбоджа,0.600
Конго,0.593
Ангола,0.591
Камерун,0.587
Комор­ские Острова,0.586
Замбия,0.569
Папуа — Новая Гвинея,0.568
Тимор-Лешти,0.566
Соломо­новы Острова,0.562
Сирия,0.557
Гаити,0.552
Уганда,0.550
Зимбабве,0.550
Нигерия,0.548
Руанда,0.548
Того,0.547
Маври­тания,0.540
Пакистан,0.540
Кот-д’Ивуар,0.534
Танзания,0.532
Лесото,0.521
Сенегал,0.517
Судан,0.516
Джибути,0.515
Малави,0.508
Бенин,0.504
Гамбия,0.495
Эритрея,0.493
Эфиопия,0.492
Либерия,0.487
Мада­гаскар,0.487
Гвинея-Бисау,0.483
Демо­крати­ческая Респуб­лика Конго,0.481
Гвинея,0.471
Афгани­стан,0.462
Мозамбик,0.461
Сьерра-Леоне,0.458
Буркина Фасо,0.438
Йемен,0.424
Бурунди,0.420
Мали,0.410
Чад,0.394
Нигер,0.394
Цент­рально-Афри­кан­ская Респуб­лика,0.387
Южный Судан,0.381
Сомали,0.380
