Country,Life Expectancy (All),Life Expectancy (Men),Life Expectancy (Women)
Монако,86.5,84.6,88.6
Сан-Марино,85.8,84.3,87.2
Гонконг,85.6,83.0,88.3
Япония,84.9,81.8,87.9
Южная Корея,84.4,81.3,87.3
Сен-Бартелеми,84.4,81.6,86.9
Француз­ская Полинезия,84.2,81.9,86.6
Андорра,84.2,82.3,86.2
Швей­цария,84.1,82.2,85.9
Австра­лия,84.1,82.3,85.8
Италия,83.9,81.8,85.9
Сингапур,83.9,81.4,86.4
Испания,83.8,81.1,86.4
Лихтен­штейн,83.7,82.0,85.4
Реюньон,83.7,80.7,86.4
Гибрал­тар,83.6,81.0,86.2
Мальта,83.5,81.5,85.4
Норвегия,83.5,81.9,85.0
Франция,83.5,80.6,86.2
Швеция,83.4,81.6,85.2
Гернси,83.4,81.2,85.6
Макао,83.2,81.0,85.4
Ватикан,83.1,81.0,85.2
Объе­динён­ные Арабские Эмираты,83.1,82.2,84.3
Исландия,83.0,81.6,84.5
Марти­ника,82.7,79.5,85.7
Израиль,82.7,80.7,84.7
Канада,82.7,80.5,84.9
Ирландия,82.6,80.6,84.6
Порту­галия,82.6,79.7,85.3
Катар,82.5,81.8,83.5
Бермуды,82.5,79.1,85.9
Люксем­бург,82.4,80.7,83.9
Нидер­ланды,82.3,80.7,83.9
Бельгия,82.3,80.1,84.4
Новая Зелан­дия,82.2,80.6,83.9
Гваделупа,82.2,78.4,85.7
Австрия,82.1,79.8,84.4
Дания,82.1,80.2,84.0
Финлян­дия,82.1,79.4,84.8
Греция,82.0,79.5,84.5
Пуэрто-Рико,81.9,78.3,85.4
Кипр,81.8,79.8,83.8
Словения,81.8,79.1,84.5
Германия,81.5,79.2,83.9
Велико­британия,81.4,79.5,83.3
Бахрейн,81.4,80.9,82.1
Чили,81.4,79.5,83.2
Мальдивы,81.3,79.9,83.0
Остров Мэн,81.1,79.0,83.2
Коста-Рика,81.0,78.4,83.6
Тайвань,80.8,77.9,83.7
Кувейт,80.6,79.4,82.0
Кайма­новы Острова,80.5,78.2,83.0
Сен-Мартен,80.4,77.0,84.0
Фарер­ские Острова,80.4,78.4,82.7
Оман,80.2,78.7,82.0
Чехия,80.0,77.2,82.7
Джерси,79.8,77.9,81.9
Албания,79.8,77.9,81.6
Панама,79.8,76.9,82.7
Ангилья,79.5,76.2,82.8
Соеди­нён­ные Штаты Америки,79.5,77.0,82.0
Фолкленд­ские Острова,79.4,77.4,81.3
Эстония,79.3,75.1,83.2
Саудов­ская Аравия,79.0,77.3,81.3
Северные Мариан­ские Острова,78.9,77.3,80.9
Новая Кале­дония,78.9,76.5,81.4
Польша,78.8,75.1,82.5
Хорватия,78.8,75.6,81.8
Уоллис и Футуна,78.7,77.8,79.7
Словакия,78.5,75.2,81.7
Уругвай,78.3,74.4,82.0
Куба,78.3,75.9,80.7
Косово,78.2,76.0,80.3
Тёркс и Кайкос,78.2,76.0,80.4
Босния и Герцего­вина,78.0,74.6,81.1
Китай,78.0,75.2,81.0
Иордания,78.0,75.9,80.3
Ливан,77.9,75.9,79.9
Перу,77.9,75.6,80.3
Колумбия,77.9,75.2,80.6
Иран,77.9,76.0,79.8
Антигуа и Барбуда,77.8,74.7,80.4
Шри-Ланка,77.7,74.4,80.7
"Бонайре, Синт-Эстатиус и Саба",77.6,75.4,80.3
Эквадор,77.6,74.9,80.3
Аргентина,77.5,75.0,80.0
Маке­дония,77.5,75.3,79.7
Британ­ские Виргин­ские Острова,77.4,74.7,80.2
Гуам,77.4,73.7,81.6
Турция,77.4,74.6,80.3
Черногория,77.3,73.9,80.4
Француз­ская Гвиана,77.2,74.3,80.1
Венгрия,77.2,73.9,80.3
Токелау,77.2,75.1,79.0
Кюрасао,77.0,72.7,81.0
Остров Святой Елены,77.0,74.0,80.7
Сербия,76.9,73.7,80.2
Сен-Пьер и Микелон,76.9,73.0,81.6
Малай­зия,76.8,74.4,79.5
Тунис,76.7,74.1,79.3
Таиланд,76.6,72.3,81.0
Синт-Мартен,76.5,73.8,79.7
Аруба,76.5,73.8,78.9
Алжир,76.5,75.1,77.9
Монт­серрат,76.3,74.3,79.0
Барбадос,76.3,73.8,78.8
Латвия,76.3,71.8,80.6
Майотта,76.2,74.3,78.5
