Страна,Население
Индия,1 450 935 791
Китай,1 409 670 000
США,334 233 854
Индонезия,283 487 931
Пакистан,251 269 164
Нигерия,232 679 478
Бразилия,211 998 573
Бангладеш,173 562 364
Россия,144 820 423
Эфиопия,132 059 767
Мексика,130 861 007
Япония,123 753 041
Египет,116 538 258
Филиппины,115 843 670
Демократическая Республика Конго,109 276 265
Вьетнам,100 987 686
Иран,91 567 738
Турция,87 473 805
Германия,84 552 242
Таиланд,71 668 011
Великобритания,69 138 192
Танзания,68 560 157
Франция,66 548 530
ЮАР,64 007 187
Италия,59 342 867
Кения,56 432 944
Мьянма,54 500 091
Колумбия,52 886 363
Республика Корея,51 717 590
Судан,50 448 963
Уганда,50 448 963
Испания,47 910 526
Алжир,46 814 308
Ирак,46 042 015
Аргентина,45 696 159
Афганистан,42 647 492
Йемен,40 583 164
Канада,39 742 430
Польша,38 539 201
Марокко,38 081 173
Ангола,37 885 849
Украина,37 860 221
Узбекистан,36 361 859
Малайзия,35 557 673
Мозамбик,34 631 766
Гана,34 427 414
Перу,34 217 848
Саудовская Аравия,33 962 757
Мадагаскар,31 964 956
Кот-д’Ивуар,31 934 230
Непал,29 651 054
Камерун,29 123 744
Венесуэла,28 405 543
Нигер,27 032 412
Австралия,26 713 205
КНДР,26 498 823
Сирия,24 672 760
Мали,24 478 595
Буркина-Фасо,23 548 781
Китайская Республика,23 213 962
Шри-Ланка,23 103 565
Малави,21 655 286
Замбия,21 314 956
Казахстан,20 592 571
Чад,20 299 123
Чили,19 764 771
Румыния,19 015 088
Сомали,19 009 151
Сенегал,18 501 984
Гватемала,18 406 359
Нидерланды,18 228 742
Эквадор,18 135 478
Камбоджа,17 638 801
Зимбабве,16 634 373
Гвинея,14 754 785
Бенин,14 462 724
Руанда,14 256 567
Бурунди,14 047 786
Боливия,12 413 315
Тунис,12 277 109
Южный Судан,11 943 408
Гаити,11 772 557
Бельгия,11 738 763
Иордания,11 552 876
Доминиканская Республика,11 427 557
ОАЭ,11 027 129
Куба,10 979 783
Чехия,10 735 859
Швеция,10 606 999
Португалия,10 425 292
Азербайджан,10 336 577
Греция,10 047 817
Таджикистан,9 886 800
Венгрия,9 604 000
Белоруссия,9 255 524
Гондурас,9 158 345
Израиль,9 136 000
Австрия,8 915 382
Папуа — Новая Гвинея,8 776 000
Швейцария,8 570 146
Того,8 095 498
Сьерра-Леоне,7 813 000
Гонконг,7 524 100
Лаос,7 123 205
Туркменистан,7 057 841
Кыргызстан,7 037 600
Никарагуа,6 803 886
Ливия,6 777 000
Сербия,6 605 168
Сальвадор,6 454 000
Болгария,6 445 481
Республика Конго,6 142 180
Парагвай,6 109 903
Дания,5 962 689
Сингапур,5 703 600
Норвегия,5 550 203
Финляндия,5 526 774
Словакия,5 422 620
