Страна,Площадь,Площадь (мили),Площадь суши (км2),ActualSizeOfCountriesTotalWaterkm,ActualSizeOfCountriesTotalWater,Процент воды в территории,Население,Продолжительность жизни (все),Продолжительность жизни (мужчины),Продолжительность жизни (женщины),ИЧР,"ВВП (номинальный, 2024, млрд $)"
Австрия,83871.0,83871.0,82520.0,1426.0,551.0,1.7,8 915 382,82.1,79.8,84.4,0.926,634.362
Албания,28748.0,28748.0,27400.0,1350.0,521.0,4.7,2 845 955,79.8,77.9,81.6,0.789,58.795
Алжир,2381741.0,2381741.0,2381741.0,0.0,0.0,0.0,46 814 308,76.5,75.1,77.9,0.745,768.521
Ангола,1246700.0,1246700.0,1246700.0,0.0,0.0,0.0,37 885 849,64.8,62.3,67.3,0.591,270.981
Андорра,468.0,468.0,470.0,0.0,0.0,0.0,76 177,84.2,82.3,86.2,0.884,6.001
Аргентина,2780400.0,2780400.0,2736690.0,43710.0,16880.0,1.6,45 696 159,77.5,75.0,80.0,0.849,1244.646
Армения,29743.0,29743.0,28470.0,1401.0,541.0,4.7,2 962 100,75.8,71.6,79.6,0.786,64.432
Барбадос,430.0,430.0,430.0,0.0,0.0,0.0,287 000,76.3,73.8,78.8,0.809,5.989
Бахрейн,765.0,765.0,785.0,0.0,0.0,0.0,1 451 200,81.4,80.9,82.1,0.888,101.549
Белиз,22966.0,22966.0,22810.0,160.0,62.0,0.7,387 879,73.7,71.1,76.7,0.7,5.204
Бельгия,30528.0,30528.0,30280.0,250.0,97.0,0.8,11 738 763,82.3,80.1,84.4,0.942,803.166
Бенин,112622.0,112622.0,112760.0,458.0,177.0,0.4,14 462 724,61.0,59.5,62.4,0.504,64.413
Болгария,110879.0,110879.0,108560.0,2390.0,923.0,2.2,6 445 481,75.8,72.3,79.4,0.799,229.107
Боливия,1098581.0,1098581.0,1083300.0,15280.0,5900.0,1.4,12 413 315,68.7,66.3,71.3,0.698,131.422
Ботсвана,582000.0,582000.0,566730.0,15000.0,5800.0,2.6,2 304 000,69.3,66.8,71.9,0.708,54.657
Бруней,5765.0,5765.0,5270.0,500.0,200.0,8.7,433 000,75.5,73.5,77.7,0.823,34.249
Бурунди,27834.0,27834.0,25680.0,2150.0,830.0,7.7,14 047 786,63.8,61.8,65.9,0.42,12.241
Вануату,12189.0,12189.0,12190.0,0.0,0.0,0.0,300 000,71.7,69.6,74.1,0.614,1.015
Венгрия,93028.0,93028.0,91260.0,3420.0,1320.0,3.7,9 604 000,77.2,73.9,80.3,0.851,437.767
Вьетнам,331212.0,331212.0,313429.0,21140.0,8162.0,6.4,100 987 686,74.7,70.1,79.4,0.726,1558.898
Габон,267668.0,267668.0,257670.0,10001.0,3861.0,3.7,2 173 000,68.5,66.1,71.2,0.693,43.915
Гаити,27750.0,27750.0,27560.0,190.0,73.0,0.7,11 772 557,65.1,61.9,68.5,0.552,38.506
Гайана,214969.0,214969.0,196850.0,18120.0,6996.0,8.4,801 623,70.3,66.6,74.1,0.742,63.822
Гамбия,10689.0,10689.0,10120.0,1295.0,500.0,11.5,2 348 000,66.1,64.4,67.8,0.495,8.151
Гана,238533.0,238533.0,227533.0,11000.0,4200.0,4.6,34 427 414,65.7,63.3,68.2,0.602,241.45
Гвинея,245857.0,245857.0,245720.0,140.0,54.0,0.1,14 754 785,60.9,59.7,62.1,0.471,51.894
Гвинея-Бисау,36125.0,36125.0,28120.0,8005.0,3091.0,22.2,1 921 000,64.3,61.8,66.5,0.483,6.406
Германия,357114.0,357114.0,349390.0,8350.0,3220.0,2.3,84 552 242,81.5,79.2,83.9,0.95,5686.531
Гондурас,112492.0,112492.0,111890.0,200.0,80.0,0.2,9 158 345,73.0,70.5,75.7,0.624,79.975
Гонконг,1104.0,1104.0,1050.0,1649.0,637.0,59.9,7 524 100,85.6,83.0,88.3,0.956,570.082
Гренада,344.0,344.0,340.0,0.0,0.0,0.0,112 000,75.4,72.5,78.5,0.793,2.502
Греция,131990.0,131990.0,128900.0,1310.0,506.0,1.0,10 047 817,82.0,79.5,84.5,0.893,430.125
Грузия,69700.0,69700.0,69490.0,0.0,0.0,0.0,3 736 400,74.7,69.7,79.2,0.814,94.02
Дания,43094.0,43094.0,40000.0,21.0,8.0,0.0,5 962 689,82.1,80.2,84.0,0.952,462.019
Джибути,23200.0,23200.0,23180.0,20.0,8.0,0.1,974 000,66.2,63.7,68.7,0.515,8.038
Доминика,751.0,751.0,750.0,0.0,0.0,0.0,72 000,71.3,68.4,74.7,0.74,1.144
Египет,1002450.0,1002450.0,995450.0,6000.0,2000.0,0.6,116 538 258,71.8,69.7,74.0,0.728,1898.538
Замбия,752612.0,752612.0,743390.0,9220.0,3560.0,1.2,21 314 956,66.5,64.1,68.9,0.569,92.175
Зимбабве,390757.0,390757.0,386850.0,3910.0,1510.0,1.0,16 634 373,63.1,60.5,65.3,0.55,49.035
Израиль,20770.0,20770.0,21640.0,440.0,170.0,2.1,9 136 000,82.7,80.7,84.7,0.915,552.151
Индия,3287590.0,3287590.0,2973190.0,314073.0,121264.0,9.6,1 450 935 791,72.2,70.7,73.9,0.644,14594.46
Иордания,89342.0,89342.0,88794.0,540.0,210.0,0.6,11 552 876,78.0,75.9,80.3,0.736,141.191
Ирак,438317.0,438317.0,434128.0,950.0,370.0,0.2,46 042 015,72.4,70.5,74.2,0.673,530.861
Иран,1648195.0,1648195.0,1622500.0,116600.0,45020.0,7.1,91 567 738,77.9,76.0,79.8,0.78,1854.845
Ирландия,70273.0,70273.0,68890.0,1390.0,537.0,2.0,4 921 500,82.6,80.6,84.6,0.95,712.056
Исландия,103000.0,103000.0,100830.0,2750.0,1060.0,2.7,356 991,83.0,81.6,84.5,0.959,29.077
Испания,505992.0,505992.0,499556.6,6390.0,2470.0,1.3,47 910 526,83.8,81.1,86.4,0.911,2516.376
Италия,301336.0,301336.0,295717.0,7200.0,2800.0,2.4,59 342 867,83.9,81.8,85.9,0.906,3347.103
Йемен,527968.0,527968.0,527970.0,0.0,0.0,0.0,40 583 164,69.4,67.4,71.5,0.424,69.535
